,id,churn_probability,churn_probability_pred_LR,churn_probability_pred_RF,churn_probability_pred_DC,churn_probability_pred_XG
0,69999,0,0.0,0.0,0.0,0
1,70000,0,0.0,0.0,0.0,0
2,70001,1,0.0,1.0,1.0,1
3,70002,0,0.0,0.0,0.0,0
4,70003,0,0.0,0.0,0.0,0
5,70004,1,0.0,1.0,1.0,1
6,70005,0,0.0,0.0,0.0,0
7,70006,0,0.0,0.0,0.0,0
8,70007,0,1.0,0.0,0.0,0
9,70008,1,0.0,0.0,0.0,0
10,70009,0,0.0,0.0,0.0,0
11,70010,0,0.0,0.0,0.0,0
12,70011,0,0.0,0.0,0.0,0
13,70012,0,0.0,0.0,0.0,0
14,70013,0,0.0,0.0,0.0,0
15,70014,0,0.0,0.0,0.0,0
16,70015,0,0.0,0.0,0.0,0
17,70016,0,0.0,0.0,0.0,0
18,70017,0,0.0,0.0,0.0,0
19,70018,0,0.0,0.0,0.0,0
20,70019,1,0.0,1.0,1.0,1
21,70020,1,1.0,0.0,0.0,0
22,70021,0,0.0,0.0,0.0,0
23,70022,0,0.0,0.0,0.0,0
24,70023,0,0.0,0.0,0.0,0
25,70024,0,0.0,0.0,0.0,0
26,70025,0,0.0,0.0,0.0,0
27,70026,0,0.0,0.0,0.0,0
28,70027,0,0.0,0.0,0.0,0
29,70028,0,0.0,0.0,0.0,0
30,70029,0,0.0,0.0,0.0,0
31,70030,0,0.0,0.0,0.0,0
32,70031,0,0.0,0.0,0.0,0
33,70032,1,1.0,1.0,1.0,1
34,70033,0,0.0,0.0,0.0,0
35,70034,0,0.0,0.0,0.0,0
36,70035,0,0.0,0.0,0.0,0
37,70036,0,0.0,0.0,0.0,0
38,70037,0,0.0,0.0,0.0,0
39,70038,0,0.0,0.0,0.0,0
40,70039,0,0.0,0.0,0.0,0
41,70040,0,0.0,0.0,0.0,0
42,70041,0,1.0,1.0,1.0,1
43,70042,0,0.0,0.0,0.0,0
44,70043,0,0.0,0.0,0.0,0
45,70044,0,0.0,0.0,0.0,0
46,70045,0,0.0,0.0,0.0,0
47,70046,0,0.0,0.0,0.0,0
48,70047,0,0.0,0.0,0.0,0
49,70048,0,0.0,0.0,0.0,0
50,70049,1,0.0,0.0,0.0,0
51,70050,0,0.0,0.0,0.0,0
52,70051,0,0.0,0.0,0.0,0
53,70052,1,1.0,0.0,0.0,0
54,70053,0,0.0,0.0,0.0,0
55,70054,0,0.0,0.0,0.0,0
56,70055,0,0.0,0.0,0.0,0
57,70056,0,0.0,0.0,0.0,0
58,70057,0,0.0,0.0,0.0,0
59,70058,0,0.0,0.0,0.0,0
60,70059,0,0.0,0.0,0.0,0
61,70060,0,0.0,0.0,0.0,0
62,70061,0,0.0,0.0,0.0,0
63,70062,0,1.0,0.0,0.0,0
64,70063,0,0.0,0.0,0.0,0
65,70064,0,0.0,0.0,0.0,0
66,70065,0,0.0,0.0,0.0,0
67,70066,0,0.0,0.0,0.0,0
68,70067,0,0.0,0.0,0.0,0
69,70068,0,0.0,0.0,0.0,0
70,70069,0,0.0,0.0,0.0,0
